char.drKelp.name, , , "Mom, The Kelp Researcher", "Mami, La Investigadora de Algas Marinas"
char.drKelp.name.short, , , "Mom", "Mami"
char.profCoral.name, , , "Professor Cempaka, The Coral Researcher", "Profesor Cempaka, Investigador de Corales"
char.profCoral.name.short, , , "Prof. Cempaka", "Profesor Cempaka"
char.profBayou.name, , , "Dr. Harper, The Bayou Researcher", "Dra. Harper, Investigadora del Pantano"
char.profBayou.name.short, , , "Dr. Harper", "Dra. Harper"
char.profArctic.name, , , "Director Juno, The Arctic Researcher", "Directora Juno, La Investigadora del Ártico"
char.profArctic.name.short, , , "Dir. Juno", "Dira. Juno"
char.kelpMechanic.name, , , "Tío, The Kelp Mechanic", "Tío, El Mecánico de las Algas"
char.kelpMechanic.name.short, , , "Tío", "Tío"
char.coralMechanic.name, , , "Sofia, The Coral Mechanic", "Sofía, La Mecánica del Sitio Coral"
char.coralMechanic.name.short, , , "Sofia", "Sofía"
char.bayouMechanic.name, , , "Alex, The Bayou Mechanic", "Alex, La Mecánica del Pantano"
char.bayouMechanic.name.short, , , "Alex", "Alex"
char.arcticMechanic.name, , , "Reiner, The Arctic Mechanic", "Reiner, El Mecánico del Ártico"
char.arcticMechanic.name.short, , , "Reiner", "Reiner"
char.arcticSci.name, , , "Professor Jacques Whalen", "Profesor Jacques Whalen"
char.arcticSci.name.short, , , "Prof. Whalen", "Profesor Whalen"
char.bayouSci.name, , , "Silias, The Shrimp Specialist", "Silias, El Especialista en Camarones"
char.bayouSci.name.short, , , "Silias", "Silias"
char.fisher.name, , , "Fisher", "Pescador"
char.v1ctor.name, , , "V1ct0r", "V1ct0r"
char.guide.name, , , "V1ct0r", "V1ct0r"
char.guide.name.short, , , "V1ct0r", "V1ct0r"
char.sam.name, , , "Sam", "Sam"
char.sam.name.short, , , "Sam", "Sam"
char.mer.name, , , "Mer", "Mer"
char.ex.name, , , "Ex", "Ex"
char.ex.name.short, , , "Ex", "Ex"
char.mack.name, , , "Mack", "Mack"
char.mack.name.short, , , "Mack", "Mack"
char.drKelp.name.formal, , , "Dr. Ramírez", "Dra. Ramírez"
critters.arcticCod.commonName, , , "Arctic Cod", "Bacalao Polar"
critters.astarteBorealis.commonName, , , "Boreal Mollusc", "Almeja Boreal"
critters.bowheadWhale.commonName, , , "Bowhead Whale", "Ballena Boreal"
critters.blueheadWrasse.commonName, , , "Bluehead Wrasse", "Pez Cara de Cotorra"
critters.blueTang.commonName, , , "Blue Tang", "Pez cirujano azul"
critters.blueTang.commonName.plural, , , "Blue Tangs", "Peces Cirujanos Azules"
critters.bristleWorm.commonName, , , "Bristle Worm", "Poliqueto Marino"
critters.bullKelp.commonName, , , "Bull Kelp", "Alga de Toro"
critters.chinookSalmon.commonName, , , "Chinook Salmon", "Salmón Real"
critters.copepod.commonName, , , "Copepod", "Copépodo"
critters.copepod.commonName.plural, , , "Copepods", "Copépodos"
critters.decomposingBacteria.commonName, , , "Decomposing Bacteria", "Bacterias Descomponedoras"
critters.detritus.commonName, , , "Detritus", "Detritus"
critters.diatoms.commonName, , , "Diatoms", "Diatomeas"
critters.fishers.commonName, , , "Human Fisher", "Pescador Humano"
critters.giantKelp.commonName, , , "Giant Kelp", "Alga Gigante"
critters.hagfish.commonName, , , "Hagfish", "Mixines"
critters.iceAlgae.commonName, , , "Ice Algae", "Algas del Hielo"
critters.loggerheadTurtle.commonName, , , "Loggerhead Turtle", "Tortuga Boba"
critters.loggerheadTurtle.commonName.plural, , , "Loggerhead Turtles", "Tortugas Bobas"
critters.mussel.commonName, , , "Mussel", "Mejillón"
critters.mussel.commonName.plural, , , "Mussels", "Mejillones"
critters.northAtlanticOctopus.commonName, , , "North Atlantic Octopus", "Pulpo Ártico"
critters.queenConch.commonName, , , "Queen Conch", "Caracol Rosado"
critters.queenConch.commonName.plural, , , "Queen Conches", "Caracoles Rosados"
critters.redGrouper.commonName, , , "Red Grouper", "Cherna Americana"
critters.ribbonSeal.commonName, , , "Ribbon Seal", "Foca Listada"
critters.salmonShark.commonName, , , "Salmon Shark", "Tiburón Salmón"
critters.sargassum.commonName, , , "Sargassum", "Sargazo"
critters.seaAnemone.commonName, , , "Sea Anemone", "Anémonas de Mar"
critters.seaOtter.commonName, , , "Sea Otter", "Nutria Marina"
critters.seaStar.commonName, , , "Starfish", "Pez estrella"
critters.smelt.commonName, , , "Smelt", "Eperlano"
critters.snowCrab.commonName, , , "Snow Crab", "Cangrejo de la Nieve"
critters.seaOtter.commonName.plural, , , "Sea Otters", "Nutrias Marinas"
critters.staghornCoral.commonName, , , "Staghorn Coral", "Coral Cuerno de Ciervo"
critters.turtleGrass.commonName, , , "Turtle Grass", "Hierba de Tortuga"
